"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
455,"TXT",13932.01,208.33,204.14,0.45%,-23.46%,86.80%,-13.24%,2.34%,3.30,1444.25,67.71,-0.27%,1563176
456,"TYL",14567.11,41.61,41.18,0.30%,-25.13%,93.00%,1.22%,1.92%,2.74,288.34,352.80,1.46%,170943
457,"UAL",13747.61,327.00,325.89,0.30%,-1.12%,60.70%,-5.83%,4.87%,1.85,8566.01,42.66,1.50%,6300972
458,"UDR",13351.18,325.55,323.63,0.30%,-1.99%,,-2.28%,1.55%,2.03,2470.35,40.68,0.30%,1732394
459,"UHS",9094.96,71.17,61.81,1.70%,-0.20%,,-3.06%,2.90%,2.84,633.32,128.08,-0.48%,392088
460,"ULTA",26808.09,50.62,50.17,0.10%,-34.71%,96.80%,1.39%,2.41%,2.06,587.44,520.95,-2.47%,736117
461,"UNH",475031.29,934.00,929.88,0.10%,-0.11%,89.70%,-0.69%,0.58%,1.50,3576.76,512.81,0.70%,3471270
462,"UNP",118832.41,612.50,609.91,0.10%,-0.19%,80.60%,-1.13%,0.84%,1.41,3632.82,198.64,2.28%,3280010
463,"UPS",162256.12,865.00,718.47,0.01%,-56.46%,72.50%,-0.45%,1.53%,3.51,3135.00,188.58,-0.43%,2206113
464,"URI",24371.52,69.39,68.94,0.20%,-18.18%,93.90%,-0.68%,4.51%,3.40,914.64,355.27,1.14%,1494332
465,"USB",53781.23,1531.79,1529.00,0.15%,-6.59%,74.10%,-0.68%,0.80%,0.95,12960.20,35.75,1.82%,12002121
466,"V",469620.79,2060.78,1613.56,0.15%,-7.43%,98.90%,0.69%,2.03%,5.20,6294.90,225.99,-0.96%,4284649
467,"VFC",8449.48,387.74,387.27,0.10%,17.38%,90.60%,0.45%,3.99%,1.78,8654.22,21.35,-1.79%,6010195
468,"VICI",32255.04,1004.20,999.84,0.42%,0.00%,98.60%,-4.55%,2.80%,4.24,6611.26,32.32,0.62%,4631423
469,"VLO",49692.08,380.00,365.74,0.20%,-4.98%,82.50%,-1.41%,3.46%,2.90,4374.13,132.59,-1.85%,3168613
470,"VMC",21828.48,133.00,132.62,0.17%,-0.87%,92.20%,0.46%,0.97%,1.58,816.90,164.93,0.53%,877222
471,"VRSK",29617.93,156.03,153.15,0.30%,-4.14%,93.80%,-3.20%,7.55%,10.63,1088.24,190.42,-0.54%,859022
472,"VRSN",22279.68,105.50,104.83,1.10%,-9.74%,95.50%,-2.14%,1.12%,1.99,590.52,213.06,0.29%,256979
473,"VRTX",82769.55,257.00,256.21,0.10%,-27.31%,95.70%,1.22%,1.14%,2.30,1272.56,321.66,-0.09%,912001
474,"VTR",16787.69,399.66,397.86,0.54%,-1.54%,95.10%,-0.59%,2.39%,4.25,2237.50,42.63,1.57%,1774556
475,"VTRS",11728.81,1213.00,1193.82,0.28%,-0.73%,77.10%,2.14%,1.98%,2.44,9686.53,9.92,1.22%,9230653
476,"VZ",168457.21,4205.00,4198.77,0.03%,-1.75%,63.80%,-1.61%,1.01%,2.12,19982.80,39.48,-1.57%,21540919
477,"WAB",17418.03,181.00,174.07,0.50%,-18.02%,94.70%,-0.09%,0.96%,1.71,974.07,96.36,-0.23%,488824
478,"WAT",17841.00,59.34,58.60,0.10%,3.71%,91.40%,-0.12%,2.91%,4.57,372.94,300.00,-0.88%,307358
479,"WBA",31164.02,862.60,714.48,0.30%,-0.64%,59.80%,-0.06%,4.46%,4.61,6903.41,35.78,-0.94%,5631761
480,"WBD",36022.54,2435.00,1867.51,0.60%,0.00%,56.30%,-0.00%,3.67%,3.52,19494.40,15.11,2.16%,21818914
